Arrêt,Identifiant Interne,Commune,Nom du réseau,Mode de transport,Date de MAJ,Source,point_geo,Latitude,Longitude,geometry,index_right,year,reg_code,reg_name,dep_code,dep_name,arrdep_code,arrdep_name,ze2020_code,ze2020_name,bv2012_code,bv2012_name,epci_code,epci_name,ept_code,ept_name,com_code,com_name,com_arm_cod,com_arm_nam,iris_code,iris_name,iris_name_u,iris_name_l,iris_area_c,iris_type,iris_grd_qu,iris_in_ctu,ze2010_code,ze2010_name
Euroméditerranée Gantès,11725Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.3086830613, 5.3681962014",43.3086830613,5.3681962014,POINT (5.3681962014 43.3086830613),546,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13202'],['Marseille 2e Arrondissement'],['132020401'],"[""L'ÃvÃªchÃ©-Les Docks""]",L'ÃVÃCHÃ-LES DOCKS,l'Ã©vÃªchÃ©-les docks,FXX,iris d'habitat,La Joliette,Non,,
La Timone,33796Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.2911234307, 5.4004817768",43.2911234307,5.4004817768,POINT (5.4004817768 43.2911234307),25134,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13205'],['Marseille 5e Arrondissement'],['132050103'],['HÃ´pital La Timone'],HÃPITAL LA TIMONE,hÃ´pital la timone,FXX,iris d'activitÃ©,Baille,Non,,
Joliette,31860Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.3039144959, 5.3679689093",43.3039144959,5.3679689093,POINT (5.3679689093 43.3039144959),46033,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13202'],['Marseille 2e Arrondissement'],['132020404'],['Mazenod-RÃ©publique'],MAZENOD-RÃPUBLIQUE,mazenod-rÃ©publique,FXX,iris d'habitat,La Joliette,Non,,
Place de Rome,17747Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2914356273, 5.3806172302",43.2914356273,5.3806172302,POINT (5.3806172302 43.2914356273),29331,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13206'],['Marseille 6e Arrondissement'],['132060501'],['FÃ©lix Baret'],FÃLIX BARET,fÃ©lix baret,FXX,iris d'activitÃ©,PrÃ©fecture,Non,,
National,37101Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.3151278083, 5.3730810843",43.3151278083,5.3730810843,POINT (5.3730810843 43.3151278083),15596,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13203'],['Marseille 3e Arrondissement'],['132030304'],['Briancon'],BRIANCON,briancon,FXX,iris d'activitÃ©,Saint-Mauron,Non,,
Rome Davso,17744Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2936170548, 5.3794772292",43.2936170548,5.3794772292,POINT (5.3794772292 43.2936170548),42378,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13201'],['Marseille 1er Arrondissement'],['132010303'],['Domaine Ventre'],DOMAINE VENTRE,domaine ventre,FXX,iris d'habitat,Noailles,Non,,
Louis Armand,12167Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.299947338, 5.4136345198",43.299947338,5.4136345198,POINT (5.4136345198 43.299947338),47810,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13212'],['Marseille 12e Arrondissement'],['132120405'],['HespÃ©rides-HaÃ¯ti'],HESPÃRIDES-HAÃTI,hespÃ©rides-haÃ¯ti,FXX,iris d'habitat,Saint BarnabÃ©,Non,,
La Parette,36966Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2949668463, 5.4192399696",43.2949668463,5.4192399696,POINT (5.4192399696 43.2949668463),29340,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13212'],['Marseille 12e Arrondissement'],['132120501'],['Saint-Jean du DÃ©sert'],SAINT-JEAN DU DÃSERT,saint-jean du dÃ©sert,FXX,iris d'habitat,Saint-Jean du DÃ©sert,Non,,
Réformés Canebière,11743Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.3004047188, 5.3862025511",43.3004047188,5.3862025511,POINT (5.3862025511 43.3004047188),6750,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13201'],['Marseille 1er Arrondissement'],['132010202'],['Joseph Thierry'],JOSEPH THIERRY,joseph thierry,FXX,iris d'habitat,Chapitre,Non,,
Périer,31753Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.2794015064, 5.3876837719",43.2794015064,5.3876837719,POINT (5.3876837719 43.2794015064),21101,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13208'],['Marseille 8e Arrondissement'],['132080701'],['Turcat MÃ©ry'],TURCAT MÃRY,turcat mÃ©ry,FXX,iris d'habitat,Le Rouet,Non,,
Saint-Pierre,11737Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2918914899, 5.4142121069",43.2918914899,5.4142121069,POINT (5.4142121069 43.2918914899),40663,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13205'],['Marseille 5e Arrondissement'],['132050403'],['Louis Loucheur'],LOUIS LOUCHEUR,louis loucheur,FXX,iris d'habitat,Saint-Pierre,Non,,
Vieux-Port,34314Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.2956371842, 5.3741797317",43.2956371842,5.3741797317,POINT (5.3741797317 43.2956371842),32513,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13202'],['Marseille 2e Arrondissement'],['132020301'],['Quai du Port'],QUAI DU PORT,quai du port,FXX,iris d'habitat,HÃ´tel de Ville,Non,,
Ravel Decroix,27164Tramway,AUBAGNE,Lignes de l'Agglo,Tramway,2021-09-27,Métropole Aix-Marseille Provence,"43.2904942452, 5.559859468",43.2904942452,5.559859468,POINT (5.559859468 43.2904942452),39895,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],['9312'],['Marseille'],['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13005'],['Aubagne'],['13005'],['Aubagne'],['130050402'],"[""Bras d'Or""]",BRAS D'OR,bras d'or,FXX,iris d'habitat,Grand Quartier 4,Non,,
