Arrêt,Identifiant Interne,Commune,Nom du réseau,Mode de transport,Date de MAJ,Source,point_geo,Latitude,Longitude,geometry,index_right,year,reg_code,reg_name,dep_code,dep_name,arrdep_code,arrdep_name,ze2020_code,ze2020_name,bv2012_code,bv2012_name,epci_code,epci_name,ept_code,ept_name,com_code,com_name,com_arm_cod,com_arm_nam,iris_code,iris_name,iris_name_u,iris_name_l,iris_area_c,iris_type,iris_grd_qu,iris_in_ctu,ze2010_code,ze2010_name
Belsunce Alcazar,36777Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2984914461, 5.3765961696",43.2984914461,5.3765961696,POINT (5.3765961696 43.2984914461),30433,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13201'],['Marseille 1er Arrondissement'],['132010101'],['La Bourse'],LA BOURSE,la bourse,FXX,iris d'activitÃ©,Belsunce,Non,,
Canebière Garibaldi,11730Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2979307168, 5.3814788242",43.2979307168,5.3814788242,POINT (5.3814788242 43.2979307168),37596,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13201'],['Marseille 1er Arrondissement'],['132010201'],['Gambetta'],GAMBETTA,gambetta,FXX,iris d'habitat,Chapitre,Non,,
Castellane,18207Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.2861907112, 5.3845119024",43.2861907112,5.3845119024,POINT (5.3845119024 43.2861907112),13743,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13206'],['Marseille 6e Arrondissement'],['132060103'],['Castellane-Italie'],CASTELLANE-ITALIE,castellane-italie,FXX,iris d'habitat,Castellane,Non,,
Chartreux,11686Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.3091633444, 5.4013958031",43.3091633444,5.4013958031,POINT (5.4013958031 43.3091633444),39908,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13204'],['Marseille 4e Arrondissement'],['132040203'],['Chartreux Arras'],CHARTREUX ARRAS,chartreux arras,FXX,iris d'habitat,Les Chartreux,Non,,
Castellane,18207Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2865518309, 5.3835094086",43.2865518309,5.3835094086,POINT (5.3835094086 43.2865518309),13743,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13206'],['Marseille 6e Arrondissement'],['132060103'],['Castellane-Italie'],CASTELLANE-ITALIE,castellane-italie,FXX,iris d'habitat,Castellane,Non,,
Estrangin,36879Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.2903310203, 5.37802278",43.2903310203,5.37802278,POINT (5.37802278 43.2903310203),6754,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13206'],['Marseille 6e Arrondissement'],['132060401'],['Pierre Puget'],PIERRE PUGET,pierre puget,FXX,iris d'activitÃ©,Palais de Justice,Non,,
Eugène Pierre,17004Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2951165032, 5.3897133856",43.2951165032,5.3897133856,POINT (5.3897133856 43.2951165032),40662,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13205'],['Marseille 5e Arrondissement'],['132050207'],['Olivier-Chave'],OLIVIER-CHAVE,olivier-chave,FXX,iris d'habitat,Le Camas,Non,,
Cours Saint-Louis,36850Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2959383716, 5.3781598873",43.2959383716,5.3781598873,POINT (5.3781598873 43.2959383716),544,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13201'],['Marseille 1er Arrondissement'],['132010302'],"[""Gare de l'Est""]",GARE DE L'EST,gare de l'est,FXX,iris d'habitat,Noailles,Non,,
Frais Vallon,11683Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.3254627799, 5.4232561474",43.3254627799,5.4232561474,POINT (5.4232561474 43.3254627799),24017,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13213'],['Marseille 13e Arrondissement'],['132130303'],['Tilleuls-Valmont'],TILLEULS-VALMONT,tilleuls-valmont,FXX,iris d'habitat,Malpasse,Non,,
La Blancarde,27539Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.2955128555, 5.406120767",43.2955128555,5.406120767,POINT (5.406120767 43.2955128555),36325,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13205'],['Marseille 5e Arrondissement'],['132050401'],['Jean Martin'],JEAN MARTIN,jean martin,FXX,iris d'habitat,Saint-Pierre,Non,,
La Rose,30733Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.3331394946, 5.4296319227",43.3331394946,5.4296319227,POINT (5.4296319227 43.3331394946),47814,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13213'],['Marseille 13e Arrondissement'],['132130803'],['Le Clos'],LE CLOS,le clos,FXX,iris d'habitat,La Rose,Non,,
Longchamp,21764Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.3032306498, 5.3924599122",43.3032306498,5.3924599122,POINT (5.3924599122 43.3032306498),545,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13201'],['Marseille 1er Arrondissement'],['132010502'],['Longchamp'],LONGCHAMP,longchamp,FXX,iris d'habitat,Saint-Charles,Non,,
Noailles,37103Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.2967762637, 5.3812821496",43.2967762637,5.3812821496,POINT (5.3812821496 43.2967762637),24003,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13201'],['Marseille 1er Arrondissement'],['132010601'],['Gymnase'],GYMNASE,gymnase,FXX,iris d'habitat,Thiers,Non,,
Notre-Dame du Mont,37106Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.2928160073, 5.3836326717",43.2928160073,5.3836326717,POINT (5.3836326717 43.2928160073),36326,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13206'],['Marseille 6e Arrondissement'],['132060303'],['Julien'],JULIEN,julien,FXX,iris d'habitat,Notre-Dame-du-Mont,Non,,
Malpassé,11684Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.3209822291, 5.4164255499",43.3209822291,5.4164255499,POINT (5.4164255499 43.3209822291),24017,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13213'],['Marseille 13e Arrondissement'],['132130303'],['Tilleuls-Valmont'],TILLEULS-VALMONT,tilleuls-valmont,FXX,iris d'habitat,Malpasse,Non,,
Les Caillols,11722Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2947182405, 5.4441323846",43.2947182405,5.4441323846,POINT (5.4441323846 43.2947182405),6756,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13211'],['Marseille 11e Arrondissement'],['132110609'],['William Booth'],WILLIAM BOOTH,william booth,FXX,iris d'habitat,La Pomme,Non,,
République Dames,11727Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.3022007412, 5.3694297609",43.3022007412,5.3694297609,POINT (5.3694297609 43.3022007412),24004,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13202'],['Marseille 2e Arrondissement'],['132020203'],['Dames'],DAMES,dames,FXX,iris d'habitat,Grands Carmes,Non,,
Rond-Point du Prado,37188Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.2713878649, 5.3924879957",43.2713878649,5.3924879957,POINT (5.3924879957 43.2713878649),47806,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13208'],['Marseille 8e Arrondissement'],['132080801'],['Parc Chanot'],PARC CHANOT,parc chanot,FXX,iris divers,Saint-Giniez,Non,,
Rome Dragon,37187Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2890966796, 5.3819211253",43.2890966796,5.3819211253,POINT (5.3819211253 43.2890966796),25136,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13206'],['Marseille 6e Arrondissement'],['132060502'],['Salvator'],SALVATOR,salvator,FXX,iris d'habitat,PrÃ©fecture,Non,,
Noailles,37103Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.2971561615, 5.3812038115",43.2971561615,5.3812038115,POINT (5.3812038115 43.2971561615),24003,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13201'],['Marseille 1er Arrondissement'],['132010601'],['Gymnase'],GYMNASE,gymnase,FXX,iris d'habitat,Thiers,Non,,
Saint-Just,37199Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.3154134685, 5.4064342246",43.3154134685,5.4064342246,POINT (5.4064342246 43.3154134685),44169,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13204'],['Marseille 4e Arrondissement'],['132040205'],['Le Dome'],LE DOME,le dome,FXX,iris d'activitÃ©,Les Chartreux,Non,,
Saint-Charles,21727Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.3023310739, 5.3800993506",43.3023310739,5.3800993506,POINT (5.3800993506 43.3023310739),40661,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13201'],['Marseille 1er Arrondissement'],['132010505'],['Saint-Charles-Gare'],SAINT-CHARLES-GARE,saint-charles-gare,FXX,iris d'activitÃ©,Saint-Charles,Non,,
Sainte-Thérèse,11736Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.294137846, 5.4095558731",43.294137846,5.4095558731,POINT (5.4095558731 43.294137846),40663,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13205'],['Marseille 5e Arrondissement'],['132050403'],['Louis Loucheur'],LOUIS LOUCHEUR,louis loucheur,FXX,iris d'habitat,Saint-Pierre,Non,,
Sainte-Marguerite Dromel,11706Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.2706187888, 5.4021318275",43.2706187888,5.4021318275,POINT (5.4021318275 43.2706187888),46043,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13209'],['Marseille 9e Arrondissement'],['132090801'],['MÃ©tro Dromel'],MÃTRO DROMEL,mÃ©tro dromel,FXX,iris d'habitat,Sainte-Marguerite,Non,,
La Fourragère,17202Métro,MARSEILLE,RTM,Métro,2021-11-03,Métropole Aix-Marseille Provence,"43.3037674398, 5.4243671181",43.3037674398,5.4243671181,POINT (5.4243671181 43.3037674398),15602,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13212'],['Marseille 12e Arrondissement'],['132120202'],['FourragÃ¨re-BorromÃ©es-VendÃ´me'],FOURRAGÃRE-BORROMÃES-VENDÃME,fourragÃ¨re-borromÃ©es-vendÃ´me,FXX,iris d'habitat,La FourragÃ¨re,Non,,
Le Charrel,27171Tramway,AUBAGNE,Lignes de l'Agglo,Tramway,2021-09-27,Métropole Aix-Marseille Provence,"43.279190527, 5.5511256061",43.279190527,5.5511256061,POINT (5.5511256061 43.279190527),37582,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],['9312'],['Marseille'],['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13005'],['Aubagne'],['13005'],['Aubagne'],['130050603'],['Charrel'],CHARREL,charrel,FXX,iris d'habitat,Grand Quartier 6,Non,,
Piscine Alain Bernard / Oasis du Charrel,27167Tramway,AUBAGNE,Lignes de l'Agglo,Tramway,2021-09-27,Métropole Aix-Marseille Provence,"43.2846794127, 5.5480108502",43.2846794127,5.5480108502,POINT (5.5480108502 43.2846794127),32500,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],['9312'],['Marseille'],['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13005'],['Aubagne'],['13005'],['Aubagne'],['130050502'],['Tourtelle Nord'],TOURTELLE NORD,tourtelle nord,FXX,iris d'habitat,Grand Quartier 5,Non,,
La Tourtelle,22990Tramway,AUBAGNE,Lignes de l'Agglo,Tramway,2021-09-27,Métropole Aix-Marseille Provence,"43.2856375891, 5.5544657164",43.2856375891,5.5544657164,POINT (5.5544657164 43.2856375891),32500,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],['9312'],['Marseille'],['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13005'],['Aubagne'],['13005'],['Aubagne'],['130050502'],['Tourtelle Nord'],TOURTELLE NORD,tourtelle nord,FXX,iris d'habitat,Grand Quartier 5,Non,,
Arenc Le Silo,36747Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.3133138698, 5.3682068976",43.3133138698,5.3682068976,POINT (5.3682068976 43.3133138698),26191,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13202'],['Marseille 2e Arrondissement'],['132020101'],['Arenc'],ARENC,arenc,FXX,iris d'activitÃ©,Arenc,Non,,
Cinq Avenues,11740Tramway,MARSEILLE,RTM,Tramway,2021-11-03,Métropole Aix-Marseille Provence,"43.3023335968, 5.3971279115",43.3023335968,5.3971279115,POINT (5.3971279115 43.3023335968),36323,2022,['93'],"[""Provence-Alpes-CÃ´te d'Azur""]",['13'],['Bouches-du-RhÃ´ne'],['133'],['Marseille'],,,['13055'],['Marseille - Aix-en-Provence'],['200054807'],"[""MÃ©tropole d'Aix-Marseille-Provence""]",,,['13055'],['Marseille'],['13204'],['Marseille 4e Arrondissement'],['132040401'],['Trois FrÃ¨res Carasso'],TROIS FRÃRES CARASSO,trois frÃ¨res carasso,FXX,iris d'habitat,Cinq Avenues,Non,,
