id,id_station,nom,desserte,gid,last_updat,last_upd_1,geometry,index_right,year,reg_code,reg_name,dep_code,dep_name,arrdep_code,arrdep_name,ze2020_code,ze2020_name,bv2012_code,bv2012_name,epci_code,epci_name,ept_code,ept_name,com_code,com_name,com_arm_cod,com_arm_nam,iris_code,iris_name,iris_name_u,iris_name_l,iris_area_c,iris_type,iris_grd_qu,iris_in_ctu,ze2010_code,ze2010_name,Longitude,Latitude
79463885063,52211,Place Jean Jaurès,46030,71,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.837711803678958 45.738019381158146),37949,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69387'],['Lyon 7e Arrondissement'],['693870705'],['Jean-JaurÃ¨s Nord'],JEAN-JAURÃS NORD,jean-jaurÃ¨s nord,FXX,iris d'habitat,Grand Quartier 7,Non,,,4.837711803678958,45.738019381158146
79460184969,52212,Place Jean Jaurès,46030,208,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.837200330996357 45.7371850310892),37949,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69387'],['Lyon 7e Arrondissement'],['693870705'],['Jean-JaurÃ¨s Nord'],JEAN-JAURÃS NORD,jean-jaurÃ¨s nord,FXX,iris d'habitat,Grand Quartier 7,Non,,,4.837200330996357,45.7371850310892
79462385068,52213,Place Jean Jaurès,31663,209,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.837517643275708 45.73807474470251),30782,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69387'],['Lyon 7e Arrondissement'],['693870601'],['Yves Farges'],YVES FARGES,yves farges,FXX,iris d'habitat,Yves Farges-Le Fleuve,Non,,,4.837517643275708,45.73807474470251
79458884975,52214,Place Jean Jaurès,31663,210,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.837024334901434 45.73724403959444),30782,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69387'],['Lyon 7e Arrondissement'],['693870601'],['Yves Farges'],YVES FARGES,yves farges,FXX,iris d'habitat,Yves Farges-Le Fleuve,Non,,,4.837024334901434,45.73724403959444
79197789114,50941,Valmy,"30207,30208",151,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.805169988935393 45.775204749195524),14463,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69389'],['Lyon 9e Arrondissement'],['693890303'],['Mairie'],MAIRIE,mairie,FXX,iris d'habitat,Salengro-Marietton,Non,,,4.805169988935393,45.775204749195524
79203489046,50942,Valmy,"30207,30208",262,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.805879146294099 45.774583204357505),14463,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69389'],['Lyon 9e Arrondissement'],['693890303'],['Mairie'],MAIRIE,mairie,FXX,iris d'habitat,Salengro-Marietton,Non,,,4.805879146294099,45.774583204357505
79199088966,50943,Valmy,"30207,30208",263,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.805278519017889 45.77387128260109),14463,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69389'],['Lyon 9e Arrondissement'],['693890303'],['Mairie'],MAIRIE,mairie,FXX,iris d'habitat,Salengro-Marietton,Non,,,4.805278519017889,45.77387128260109
79188489620,51031,Gare de Vaise,30209,154,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.804172937981866 45.7797860732531),4364,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69389'],['Lyon 9e Arrondissement'],['693890203'],['Rochecardon-Gare de Vaise'],ROCHECARDON-GARE DE VAISE,rochecardon-gare de vaise,FXX,iris d'habitat,Le Bourg-Gare de Vaise,Non,,,4.804172937981866,45.7797860732531
79195089693,51032,Gare de Vaise,30209,264,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.805052555307158 45.78042148215994),4364,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69389'],['Lyon 9e Arrondissement'],['693890203'],['Rochecardon-Gare de Vaise'],ROCHECARDON-GARE DE VAISE,rochecardon-gare de vaise,FXX,iris d'habitat,Le Bourg-Gare de Vaise,Non,,,4.805052555307158,45.78042148215994
79328987729,52241,Fourvière,30215,156,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.82147007466078 45.762384882852764),23383,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69385'],['Lyon 5e Arrondissement'],['693850202'],['La Sarra'],LA SARRA,la sarra,FXX,iris d'habitat,La Sarra-Saint-Just,Non,,,4.82147007466078,45.762384882852764
79289287141,50931,St-Just,30214,157,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.816129577426849 45.757208325448595),16314,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69385'],['Lyon 5e Arrondissement'],['693850204'],['Radisson-Choulans'],RADISSON-CHOULANS,radisson-choulans,FXX,iris d'habitat,La Sarra-Saint-Just,Non,,,4.816129577426849,45.757208325448595
79289587119,50932,St-Just,30214,265,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.816163478207352 45.75700469182691),16314,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69385'],['Lyon 5e Arrondissement'],['693850204'],['Radisson-Choulans'],RADISSON-CHOULANS,radisson-choulans,FXX,iris d'habitat,La Sarra-Saint-Just,Non,,,4.816163478207352,45.75700469182691
79328287274,50801,Minimes,"30212,30213",159,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.82119648431185 45.75829173629979),4359,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],,,['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69123'],['Lyon'],['69385'],['Lyon 5e Arrondissement'],['693850201'],['FourviÃ¨re-Antiquaille'],FOURVIÃRE-ANTIQUAILLE,fourviÃ¨re-antiquaille,FXX,iris d'activitÃ©,La Sarra-Saint-Just,Non,,,4.82119648431185,45.75829173629979
79292382576,59041,Gare d'Oullins,46036,160,2023-03-27 02:31:26,2023-03-27 06:01:02,POINT (4.814677769615137 45.716148870612614),28424,2022,['84'],['Auvergne-RhÃ´ne-Alpes'],['69'],['RhÃ´ne'],['691'],['Lyon'],['8421'],['Lyon'],['69123'],['Lyon'],['200046977'],['MÃ©tropole de Lyon'],,,['69149'],['Oullins'],['69149'],['Oullins'],['691490402'],['Saulaie'],SAULAIE,saulaie,FXX,iris d'habitat,Saulaie-ClaveliÃ¨re,Non,,,4.814677769615137,45.716148870612614
