id_mutation,date_mutation,code_type_local,code_commune,surface_terrain,surface_reelle_bati,nombre_pieces_principales,nature_culture,valeur_fonciere,latitude,longitude,nombre_lots,numero_disposition,code_departement,Nombre_unite,Nombre_dependance,Year,num_trimestre,quarter,geometry,index_right,epci_name,iris_code,iris_name,iris_name_l,Prix_m2,Month,Pris_m2_moy_iris,std,Vente_par_iris,Vente_par_iris_tri,N_logements,N_res_ppale,N_res_second,N_vacant,N_maisons,N_apparts,N_proprietaire,N_locataire,DISP_MED19,Ec_maternelle,Ec_elementaire,UU2020,COM,TRIRIS,GRD_QUART,TYP_IRIS,P19_POP1564,P19_POP1524,P19_POP2554,P19_POP5564,P19_ACT1564,P19_CHOM1564,P19_INACT1564,Part_dactifs,Part_chomeurs,Arrondissement,dist_metro
2021-1598442,2021-01-28,1.0,75107,0.0,38.0,2.0,0,455000.0,48.850197,2.318862,2,1,75,1,0,2021,1,2021_Q1,POINT (2.318862 48.850197),14575.0,['MÃ©tropole du Grand Paris'],751072701,Ãcole Militaire ,Ã©cole militaire 1,11973.684210526315,1,11161.082162742257,4786.952100849231,230,10,2338.0,1558.0,547.0,234.0,37.0,2271.0,719.0,716.0,40920,0,0,00851,75107,750321,7510727,H,1685.88297727237,426.454390820848,919.52084523628,339.907741215238,1264.91522663618,106.988619844015,420.967750636187,0.7502983562256001,0.063461474661257,75107,0.005106934956911145
2017-736141,2017-10-23,1.0,75110,0.0,60.0,2.0,0,425500.0,48.872326,2.361436,3,1,75,1,0,2017,4,2017_Q4,POINT (2.361436 48.872326),45008.0,['MÃ©tropole du Grand Paris'],751103908,Porte Saint-Martin ,porte saint-martin 8,7091.666666666667,10,8363.053977754502,2439.075195937868,234,11,2248.0,1669.0,125.0,454.0,24.0,2098.0,720.0,856.0,28290,1,1,00851,75110,750591,7511039,H,2098.86265043634,264.493505993577,1537.13166627237,297.237478170399,1781.23418004775,207.838753955673,317.628470388591,0.848666385900689,0.09902446637585584,75110,0.0016223697357438725
2021-1603786,2021-07-09,1.0,75112,0.0,60.0,3.0,0,735000.0,48.84793,2.378412,3,1,75,1,0,2021,3,2021_Q3,POINT (2.378412 48.84793),45015.0,['MÃ©tropole du Grand Paris'],751124809,Quinze-Vingts ,quinze-vingts 9,12250.0,7,11415.31058756622,2110.124092026242,159,12,1887.0,1477.0,281.0,128.0,6.0,1698.0,493.0,940.0,30910,1,1,00851,75112,750861,7511248,H,1763.23896766789,389.408531196231,1108.25852469113,265.571911780524,1388.6539521467,183.117635145942,374.585015521186,0.7875585655774006,0.10385298788407483,75112,0.0040913117371244095
2021-1612691,2021-12-22,1.0,75112,0.0,112.0,5.0,0,1060000.0,48.834097,2.399055,1,1,75,1,2,2021,4,2021_Q4,POINT (2.399055 48.834097),5505.0,['MÃ©tropole du Grand Paris'],751124602,Picpus ,picpus 2,9464.285714285714,12,8572.973723338464,1567.4945027390092,154,5,1837.0,1574.0,123.0,139.0,7.0,1823.0,522.0,1009.0,29550,0,0,00851,75112,750951,7511246,H,1865.0651655531,284.151256738456,1303.96316363816,276.950745176484,1451.72836240755,183.074988409398,413.336803145548,0.7783794310356058,0.0981601028160888,75112,0.001698773248524424
2017-737548,2017-08-08,1.0,75112,0.0,143.0,6.0,0,1145000.0,48.836725,2.404647,2,1,75,1,1,2017,3,2017_Q3,POINT (2.404647 48.836725),49167.0,['MÃ©tropole du Grand Paris'],751124502,Bel-Air ,bel-air 2,8006.993006993007,8,8362.859895849177,1146.8144350951786,261,15,2726.0,2228.0,251.0,246.0,42.0,2658.0,854.0,1274.0,32250,0,0,00851,75112,750921,7511245,H,2710.86590006231,447.013012233543,1857.93676530978,405.916122518987,2320.81952705203,262.939756069355,390.046373010281,0.8561174224806491,0.09699474845410509,75112,0.0018800765895872846
2019-1516017,2019-07-25,1.0,75112,135.0,149.0,6.0,sols,1430000.0,48.835193,2.404587,0,1,75,1,0,2019,3,2019_Q3,POINT (2.404587 48.835193),49167.0,['MÃ©tropole du Grand Paris'],751124502,Bel-Air ,bel-air 2,9597.31543624161,7,8622.74624038493,2155.871939542966,261,18,2726.0,2228.0,251.0,246.0,42.0,2658.0,854.0,1274.0,32250,0,0,00851,75112,750921,7511245,H,2710.86590006231,447.013012233543,1857.93676530978,405.916122518987,2320.81952705203,262.939756069355,390.046373010281,0.8561174224806491,0.09699474845410509,75112,0.0014523199725646912
2019-1515247,2019-06-14,1.0,75112,34.0,84.0,5.0,sols,1100000.0,48.84691,2.370783,0,1,75,1,0,2019,2,2019_Q2,POINT (2.370783 48.84691),41458.0,['MÃ©tropole du Grand Paris'],751124803,Quinze-Vingts ,quinze-vingts 3,13095.238095238095,6,13848.315449256626,7791.220843363214,113,7,1331.0,1059.0,147.0,126.0,36.0,1279.0,372.0,655.0,38970,0,0,00851,75112,750841,7511248,H,1580.50395022938,297.639145026069,1053.99584858714,228.868956616173,1224.49035669021,101.614446703562,356.013593539176,0.7747467866261888,0.06429243450407991,75112,0.003909671466755508
2021-1602104,2021-07-08,1.0,75112,37.0,108.0,6.0,sols,1112500.0,48.846954,2.371115,0,1,75,1,0,2021,3,2021_Q3,POINT (2.371115 48.846954),41458.0,['MÃ©tropole du Grand Paris'],751124803,Quinze-Vingts ,quinze-vingts 3,10300.925925925925,7,9014.54985772689,2503.4649178294353,113,7,1331.0,1059.0,147.0,126.0,36.0,1279.0,372.0,655.0,38970,0,0,00851,75112,750841,7511248,H,1580.50395022938,297.639145026069,1053.99584858714,228.868956616173,1224.49035669021,101.614446703562,356.013593539176,0.7747467866261888,0.06429243450407991,75112,0.003710509847303287
2021-1615410,2021-02-26,1.0,75112,66.0,120.0,8.0,sols,1602500.0,48.846418,2.37025,0,1,75,1,0,2021,1,2021_Q1,POINT (2.37025 48.846418),41458.0,['MÃ©tropole du Grand Paris'],751124803,Quinze-Vingts ,quinze-vingts 3,13354.166666666666,2,10992.759972632895,2418.327613094007,113,6,1331.0,1059.0,147.0,126.0,36.0,1279.0,372.0,655.0,38970,0,0,00851,75112,750841,7511248,H,1580.50395022938,297.639145026069,1053.99584858714,228.868956616173,1224.49035669021,101.614446703562,356.013593539176,0.7747467866261888,0.06429243450407991,75112,0.003274145479656961
2020-1437494,2020-12-09,1.0,75112,0.0,160.0,6.0,0,2180000.0,48.844421,2.404336,1,1,75,1,0,2020,4,2020_Q4,POINT (2.404336 48.844421),1983.0,['MÃ©tropole du Grand Paris'],751124507,Bel-Air ,bel-air 7,13625.0,12,11238.673469387755,2393.845755482427,80,3,1510.0,1181.0,164.0,165.0,19.0,1481.0,445.0,707.0,29150,0,0,00851,75112,750931,7511245,H,1336.1891031414,197.556159981462,899.663231988174,238.969711171767,1080.08127040771,120.203060103294,256.10783273369,0.8083296502481746,0.0899596171086075,75112,0.0031931521416503875
2018-1404837,2018-12-20,1.0,75112,0.0,110.0,4.0,0,1193499.0,48.849401,2.386506,2,1,75,1,0,2018,4,2018_Q4,POINT (2.386506 48.849401),24860.0,['MÃ©tropole du Grand Paris'],751124621,Picpus 2,picpus 21,10849.99090909091,12,7661.220081579059,3486.455635912726,99,7,1576.0,1269.0,250.0,57.0,40.0,1419.0,432.0,789.0,28400,0,1,00851,75112,750871,7511246,H,1736.43148250977,312.36459636378,1196.15989763949,227.906988506501,1408.67080131084,140.146504221281,327.760681198934,0.8112446793897117,0.08070949279191755,75112,0.0021973633199509905
2019-1514772,2019-04-26,1.0,75112,108.0,150.0,7.0,sols,1380000.0,48.846449,2.407916,0,1,75,1,0,2019,2,2019_Q2,POINT (2.407916 48.846449),24858.0,['MÃ©tropole du Grand Paris'],751124512,Bel-Air 1,bel-air 12,9200.0,4,8404.764559955864,4172.9632301061765,200,20,2601.0,2230.0,193.0,177.0,23.0,2515.0,809.0,1333.0,29550,0,0,00851,75112,750901,7511245,H,2791.15881075001,384.600756071482,1892.34526636824,514.212788310288,2295.97537145692,198.99456704801,495.183439293091,0.8225885831411973,0.0712946057678955,75112,0.006766045669350341
2020-1436702,2020-10-27,1.0,75112,0.0,121.0,4.0,0,1444800.0,48.846687,2.409686,2,1,75,1,0,2020,4,2020_Q4,POINT (2.409686 48.846687),24858.0,['MÃ©tropole du Grand Paris'],751124512,Bel-Air 1,bel-air 12,11940.495867768595,10,10463.910190326693,1742.7206348878349,200,7,2601.0,2230.0,193.0,177.0,23.0,2515.0,809.0,1333.0,29550,0,0,00851,75112,750901,7511245,H,2791.15881075001,384.600756071482,1892.34526636824,514.212788310288,2295.97537145692,198.99456704801,495.183439293091,0.8225885831411973,0.0712946057678955,75112,0.008550673874014043
2018-1404033,2018-10-15,1.0,75111,186.0,78.0,3.0,sols,970000.0,48.852632,2.382698,0,1,75,1,0,2018,4,2018_Q4,POINT (2.382698 48.852632),11376.0,['MÃ©tropole du Grand Paris'],751114406,Sainte-Marguerite ,sainte-marguerite 6,12435.897435897436,10,11425.453421741728,7275.634183937552,181,16,2014.0,1705.0,147.0,162.0,14.0,1991.0,690.0,934.0,30550,0,0,00851,75111,750831,7511144,H,2001.35545297637,297.249364503027,1469.91350978311,234.192578690231,1705.73442430086,181.146519520371,295.621028675506,0.8522895929177052,0.09051191743624254,75111,0.0028661279196967077
2021-1612709,2021-12-13,1.0,75112,0.0,92.0,3.0,0,945000.0,48.849669,2.372943,2,1,75,1,0,2021,4,2021_Q4,POINT (2.372943 48.849669),24862.0,['MÃ©tropole du Grand Paris'],751124806,Quinze-Vingts ,quinze-vingts 6,10271.739130434782,12,9705.731127568084,2032.3615259114297,96,5,1454.0,1145.0,202.0,106.0,9.0,1428.0,369.0,730.0,34670,0,0,00851,75112,750851,7511248,H,1503.06550509751,330.02256552888,955.802524216902,217.240415351727,1189.54927660241,81.8104102653396,313.516228495104,0.7914154589857606,0.05442903851354917,75112,0.0033675077648487413
2021-1600648,2021-06-01,1.0,75112,55.0,115.0,6.0,sols,1033800.0,48.841613,2.403966,0,1,75,1,0,2021,2,2021_Q2,POINT (2.403966 48.841613),45010.0,['MÃ©tropole du Grand Paris'],751124506,Bel-Air ,bel-air 6,8989.565217391304,6,9531.898148484699,1067.636746647228,58,5,1241.0,1115.0,79.0,47.0,11.0,1229.0,328.0,746.0,32750,0,1,00851,75112,750931,7511245,H,1470.87827739281,264.648898489805,943.071391649378,263.157987253629,1206.86228522366,137.365117621796,264.015992169155,0.8205045269706961,0.09338986082878395,75112,0.002774856277130369
2021-1601994,2021-07-02,1.0,75112,41.0,110.0,4.0,sols,980000.0,48.843277,2.402414,0,1,75,1,0,2021,3,2021_Q3,POINT (2.402414 48.843277),45010.0,['MÃ©tropole du Grand Paris'],751124506,Bel-Air ,bel-air 6,8909.09090909091,7,10189.531507157099,1776.556088364153,58,11,1241.0,1115.0,79.0,47.0,11.0,1229.0,328.0,746.0,32750,0,1,00851,75112,750931,7511245,H,1470.87827739281,264.648898489805,943.071391649378,263.157987253629,1206.86228522366,137.365117621796,264.015992169155,0.8205045269706961,0.09338986082878395,75112,0.0018349222454158809
2018-1406348,2018-06-28,1.0,75113,103.0,213.0,7.0,sols,1650000.0,48.82223,2.356174,0,1,75,1,0,2018,2,2018_Q2,POINT (2.356174 48.82223),11382.0,['MÃ©tropole du Grand Paris'],751135106,Maison Blanche ,maison blanche 6,7746.478873239436,6,7907.529995649109,1082.1245316015688,94,3,1872.0,1696.0,51.0,125.0,37.0,1815.0,371.0,1274.0,23950,1,2,00851,75113,751151,7511351,H,2708.30878403557,561.76752828755,1653.49946694144,493.041788806579,2012.30754228534,239.196605231945,696.001241750226,0.743012596697656,0.08831954710700501,75113,0.0020521386689812448
2019-1519616,2019-05-29,1.0,75113,0.0,113.0,6.0,0,1140000.0,48.82237,2.356197,1,1,75,1,0,2019,2,2019_Q2,POINT (2.356197 48.82237),11382.0,['MÃ©tropole du Grand Paris'],751135106,Maison Blanche ,maison blanche 6,10088.495575221239,5,9198.642648453895,2929.3760304226266,94,7,1872.0,1696.0,51.0,125.0,37.0,1815.0,371.0,1274.0,23950,1,2,00851,75113,751151,7511351,H,2708.30878403557,561.76752828755,1653.49946694144,493.041788806579,2012.30754228534,239.196605231945,696.001241750226,0.743012596697656,0.08831954710700501,75113,0.002007345853291924
2019-1519677,2019-06-14,1.0,75113,83.0,192.0,7.0,sols,1410000.0,48.822855,2.356371,0,1,75,1,0,2019,2,2019_Q2,POINT (2.356371 48.822855),11382.0,['MÃ©tropole du Grand Paris'],751135106,Maison Blanche ,maison blanche 6,7343.75,6,9198.642648453895,2929.3760304226266,94,7,1872.0,1696.0,51.0,125.0,37.0,1815.0,371.0,1274.0,23950,1,2,00851,75113,751151,7511351,H,2708.30878403557,561.76752828755,1653.49946694144,493.041788806579,2012.30754228534,239.196605231945,696.001241750226,0.743012596697656,0.08831954710700501,75113,0.0018327641361415516
2020-1439133,2020-09-29,1.0,75113,34.0,87.0,4.0,sols,847000.0,48.823016,2.355627,0,1,75,1,0,2020,3,2020_Q3,POINT (2.355627 48.823016),11382.0,['MÃ©tropole du Grand Paris'],751135106,Maison Blanche ,maison blanche 6,9735.632183908046,9,10067.559019085305,940.9459496341111,94,2,1872.0,1696.0,51.0,125.0,37.0,1815.0,371.0,1274.0,23950,1,2,00851,75113,751151,7511351,H,2708.30878403557,561.76752828755,1653.49946694144,493.041788806579,2012.30754228534,239.196605231945,696.001241750226,0.743012596697656,0.08831954710700501,75113,0.0025920554999325123
2021-1603938,2021-07-22,1.0,75113,91.0,180.0,6.0,sols,1950000.0,48.822792,2.357202,0,1,75,1,0,2021,3,2021_Q3,POINT (2.357202 48.822792),11382.0,['MÃ©tropole du Grand Paris'],751135106,Maison Blanche ,maison blanche 6,10833.333333333334,7,8428.28302091616,2968.0729433607466,94,5,1872.0,1696.0,51.0,125.0,37.0,1815.0,371.0,1274.0,23950,1,2,00851,75113,751151,7511351,H,2708.30878403557,561.76752828755,1653.49946694144,493.041788806579,2012.30754228534,239.196605231945,696.001241750226,0.743012596697656,0.08831954710700501,75113,0.0010015016349107615
2019-1520286,2019-09-25,1.0,75113,96.0,115.0,5.0,sols,1375000.0,48.829578,2.352246,0,1,75,1,0,2019,3,2019_Q3,POINT (2.352246 48.829578),7687.0,['MÃ©tropole du Grand Paris'],751135123,Maison Blanche 2,maison blanche 23,11956.521739130434,9,9995.686343863214,2113.221579461002,137,12,1651.0,1357.0,143.0,151.0,38.0,1570.0,434.0,841.0,28530,0,0,00851,75113,751091,7511351,H,1789.77170705615,418.177528317697,1145.56154809756,226.032630640893,1343.67138157578,120.894217873669,446.100325480377,0.750750152255941,0.06754728404580608,75113,0.0028078751202695773
2019-1519613,2019-05-29,1.0,75113,39.0,51.0,3.0,sols,500000.0,48.825419,2.353741,0,1,75,1,0,2019,2,2019_Q2,POINT (2.353741 48.825419),34704.0,['MÃ©tropole du Grand Paris'],751135112,Maison Blanche 1,maison blanche 12,9803.921568627451,5,9192.099758579041,1748.002873083848,179,7,1861.0,1650.0,60.0,151.0,31.0,1824.0,562.0,1031.0,32390,0,0,00851,75113,751141,7511351,H,2415.33805090062,414.003141394763,1582.03317048734,419.301739018519,1737.44676219159,197.094927759546,677.891288709027,0.7193389602518533,0.08160138399097143,75113,0.0036660637298319494
2020-1438992,2020-09-09,1.0,75113,60.0,64.0,3.0,sols,480000.0,48.825264,2.353361,0,1,75,1,0,2020,3,2020_Q3,POINT (2.353361 48.825264),34704.0,['MÃ©tropole du Grand Paris'],751135112,Maison Blanche 1,maison blanche 12,7500.0,9,9539.184054095134,2366.7612696929496,179,5,1861.0,1650.0,60.0,151.0,31.0,1824.0,562.0,1031.0,32390,0,0,00851,75113,751141,7511351,H,2415.33805090062,414.003141394763,1582.03317048734,419.301739018519,1737.44676219159,197.094927759546,677.891288709027,0.7193389602518533,0.08160138399097143,75113,0.004075095403936863
2019-1520544,2019-11-04,1.0,75113,217.0,217.0,6.0,sols,2510000.0,48.832269,2.368516,0,1,75,1,0,2019,4,2019_Q4,POINT (2.368516 48.832269),24864.0,['MÃ©tropole du Grand Paris'],751135020,Gare 2,gare 20,11566.820276497696,11,9524.291116775154,2108.588664904776,91,8,2123.0,1851.0,102.0,170.0,0.0,2096.0,223.0,1577.0,27040,0,4,00851,75113,751051,7511350,H,2561.31329504577,438.192583086996,1616.14145323642,506.979258722359,2043.89941821994,363.927660319246,517.413876825833,0.7979888372786571,0.1420863511789731,75113,0.002529745876504029
2020-1439150,2020-10-07,1.0,75113,75.0,73.0,3.0,sols,750000.0,48.824568,2.369106,0,1,75,1,0,2020,4,2020_Q4,POINT (2.369106 48.824568),1985.0,['MÃ©tropole du Grand Paris'],751135010,Gare 1,gare 10,10273.972602739726,10,9752.919964434315,2101.23955142915,77,5,1306.0,1117.0,105.0,84.0,48.0,1209.0,319.0,763.0,26580,1,1,00851,75113,751191,7511350,H,1628.61085107507,344.253094787936,1082.12925603654,202.228500250595,1230.4621131218,121.516090490368,398.148737953269,0.7555286226353912,0.07461333713339405,75113,0.002918546157616405
2017-739957,2017-08-02,1.0,75113,410.0,169.0,4.0,sols,1077108.0,48.827596,2.372754,0,1,75,1,0,2017,3,2017_Q3,POINT (2.372754 48.827596),39148.0,['MÃ©tropole du Grand Paris'],751135014,Gare 1,gare 14,6373.420118343195,8,42262.18420080016,143031.71715814166,133,13,2165.0,1824.0,184.0,158.0,25.0,1949.0,564.0,1164.0,29950,0,0,00851,75113,751201,7511350,H,2563.52359663783,629.539155539023,1598.04556918606,335.938871912746,1842.92445884721,243.910416241767,720.599137790623,0.7189028652844404,0.09514654616858836,75113,0.005506625039182225
2018-1406004,2018-05-16,1.0,75113,256.0,100.0,6.0,sols,770000.0,48.826001,2.34829,0,1,75,1,0,2018,2,2018_Q2,POINT (2.34829 48.826001),43525.0,['MÃ©tropole du Grand Paris'],751135122,Maison Blanche 2,maison blanche 22,7700.0,5,8700.047118009354,4104.110910745767,208,8,2188.0,1852.0,136.0,200.0,29.0,2151.0,739.0,970.0,34680,2,0,00851,75113,751111,7511351,H,2411.55927514913,558.204714324381,1573.86628717812,279.488273646634,1906.03083824409,161.62619979296,505.528436905043,0.7903727923611672,0.06702145017064326,75113,0.0037888965643106043
2020-1439587,2020-12-11,1.0,75113,0.0,110.0,5.0,0,1380000.0,48.827237,2.350367,11,1,75,1,0,2020,4,2020_Q4,POINT (2.350367 48.827237),43525.0,['MÃ©tropole du Grand Paris'],751135122,Maison Blanche 2,maison blanche 22,12545.454545454546,12,12979.74353301375,6595.520150351084,208,11,2188.0,1852.0,136.0,200.0,29.0,2151.0,739.0,970.0,34680,2,0,00851,75113,751111,7511351,H,2411.55927514913,558.204714324381,1573.86628717812,279.488273646634,1906.03083824409,161.62619979296,505.528436905043,0.7903727923611672,0.06702145017064326,75113,0.0025498208048890373
